_id,id,title,release_date,popularity,vote_average,vote_count,release_year
661ec0a782636514977a507a,185664,Nun in Rope Hell,25-05-1984,72.58,5.3,12,1984
661ec0a782636514977a507b,508442,Soul,25-12-2020,72.536,8.133,10015,2020
661ec0a782636514977a507c,998022,The Teachers' Lounge,04-05-2023,72.51,7.316,265,2023
661ec0a782636514977a507d,9473,"South Park: Bigger, Longer & Uncut",30-06-1999,65.639,7.3,2571,1999
661ec0a782636514977a507e,102651,Maleficent,28-05-2014,72.878,7.093,12762,2014
661ec0a782636514977a507f,1076487,Warhorse One,30-06-2023,61.681,7.194,240,2023
661ec0a782636514977a5080,189,Sin City: A Dame to Kill For,20-08-2014,68.057,6.369,3661,2014
661ec0a782636514977a5081,400160,The SpongeBob Movie: Sponge on the Run,14-08-2020,62.869,7.5,2782,2020
661ec0a782636514977a5082,2978,Ghostbusters II,16-06-1989,70.971,6.562,4180,1989
661ec0a782636514977a5083,264660,Ex Machina,21-01-2015,70.967,7.572,12775,2015
661ec0a782636514977a5084,1422,The Departed,04-10-2006,70.831,8.167,14350,2006
661ec0a782636514977a5085,1369,Rambo: First Blood Part II,21-05-1985,70.763,6.635,3698,1985
661ec0a782636514977a5086,50270,Paprika,13-02-1991,70.694,7,390,1991
661ec0a782636514977a5087,249397,Nymphomaniac: Vol. II,25-12-2013,64.627,6.741,2804,2013
661ec0a782636514977a5088,138103,The Expendables 3,07-08-2014,60.622,6.22,4798,2014
661ec0a782636514977a5089,391713,Lady Bird,01-09-2017,101.37,7.269,8132,2017
661ec0a782636514977a508a,961323,Nimona,23-06-2023,67.419,7.9,918,2023
661ec0a782636514977a508b,18095,Dragon Ball GT: A Hero's Legacy,26-03-1997,63.349,6.8,310,1997
661ec0a782636514977a508c,736526,Troll,01-12-2022,59.305,6.646,1602,2022
661ec0a782636514977a508d,207703,Kingsman: The Secret Service,13-12-2014,71.517,7.6,16138,2014
661ec0a782636514977a508e,854,The Mask,29-07-1994,58.5,6.955,9815,1994
661ec0a782636514977a508f,646385,Scream,12-01-2022,70.765,6.7,3054,2022
661ec0a782636514977a5090,324852,Despicable Me 3,15-06-2017,80.32,6.459,6802,2017
661ec0a782636514977a5091,297,Meet Joe Black,12-11-1998,63.893,7.3,4875,1998
661ec0a782636514977a5092,20526,TRON: Legacy,14-12-2010,77.895,6.468,6885,2010
661ec0a782636514977a5093,1001783,"LaRoy, Texas",12-04-2024,56.048,7.2,9,2024
661ec0a782636514977a5094,89,Indiana Jones and the Last Crusade,24-05-1989,69.886,7.847,9720,1989
661ec0a782636514977a5095,597891,Kate,10-09-2021,91.139,6.6,1399,2021
661ec0a782636514977a5096,149,Akira,16-07-1988,68.017,7.944,3982,1988
